,date,date_lab,who_region,who_region_long,country,iso3,cases,confirmed_cases,severe_cases,deaths,cfr,prop_sev,cfr_ci_lower,cfr_ci_upper,prop_sev_ci_lower,prop_sev_ci_upper
51,2014-01-01,Jan 2014,AMR,Region of the Americas,Aruba,ABW,,,,,,,,,,
52,2014-01-01,Jan 2014,AMR,Region of the Americas,Bahamas,BHS,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6023646356164746,0.0,0.6023646356164746
53,2014-01-01,Jan 2014,AMR,Region of the Americas,Barbados,BRB,116.0,35.0,,0.0,0.0,,0.0,0.03130036074329001,,
54,2014-01-01,Jan 2014,AMR,Region of the Americas,Belize,BLZ,253.0,9.0,,,,,,,,
55,2014-01-01,Jan 2014,AMR,Region of the Americas,Bermuda,BMU,0.0,0.0,0.0,0.0,,,0.0,1.0,0.0,1.0
56,2014-01-01,Jan 2014,AMR,Region of the Americas,Bolivia (Plurinational State of),BOL,2232.0,408.0,51.0,0.0,0.0,0.0228494623655914,0.0,0.001651358773925315,0.0170591201679427,0.02993443172361809
57,2014-01-01,Jan 2014,AMR,Region of the Americas,"Bonaire, Saint Eustatius and Saba",BES,,,,,,,,,,
58,2014-01-01,Jan 2014,AMR,Region of the Americas,Brazil,BRA,35582.0,13160.0,49.0,37.0,0.001039851610364791,0.001377100781293913,0.0007322538875276329,0.001433016473262249,0.001018955024321397,0.00182019647284668
59,2014-01-01,Jan 2014,AMR,Region of the Americas,British Virgin Islands,VGB,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2470526380004709,0.0,0.2470526380004709
60,2014-01-01,Jan 2014,AMR,Region of the Americas,Canada,CAN,0.0,0.0,0.0,0.0,,,0.0,1.0,0.0,1.0
61,2014-01-01,Jan 2014,AMR,Region of the Americas,Cayman Islands,CYM,0.0,,,,,,,,,
62,2014-01-01,Jan 2014,AMR,Region of the Americas,Chile,CHL,,,,,,,,,,
63,2014-01-01,Jan 2014,AMR,Region of the Americas,Colombia,COL,11804.0,3556.0,294.0,0.0,0.0,0.02490681125042359,0.0,0.0003124621405041675,0.02217074717275393,0.02788044753214636
